ID,QUIZ: Financial Aid Requirement,Career Action Plan Check-In 1,Career Action Plan Check-In 2,Career Action Plan Check-In 3,Part 1 of Final Project - Interview Professional Approval,Part 2 of Final Project: Informational Interview,Week 1: To-DO Points Submission,Week 2: To-DO Points Submission,Week 3: To-DO Points Submission,Week 4: To-DO Points Submission,Week 5: To-DO Points Submission,Week 6: To-DO Points Submission,Week 7: To-DO Points Submission,Week 8: To-DO Points Submission,Week 9: To-DO Points Submission,Week 10: To-DO Points Submission,Week 11: To-DO Points Submission,Week 12: To-DO Points Submission,Week 13: To-DO Points Submission,1st Points Deadline Activity Assignment,2nd Points Deadline Activity Assignment,Final Earned To-DO Points Running Total (Max 30),Assignment 1: Networking with a Purpose,Assignment 2: The Optimized Resume,Assignment 3: Communicating Your Brand,In-Class LIVE Lecture Assignment for Attendance,Week 2 Quiz,Week 3 Quiz,Week 4 Quiz,Week 5 Quiz,Week 6 Quiz,Week 7 Quiz,Week 8 Quiz,Week 9 Quiz,Week 11 Quiz,Week 13 Quiz,Final Points,Final Score,Final Grade
4384347,10,5,5,5,10,40,,20,,,,,,,,,,,10,15,15,30,30,5,0,30,5,4,5,5,5,5,5,5,5,5,219,87.6,B
4459537,10,5,5,5,10,40,,,,,10,,5,,,15,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,5,5,250,100,A
4418658,9.75,5,5,5,10,40,,,,,20,,,,,,,,10,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,5,4,248.75,99.5,A
4414157,9.38,5,5,5,0,40,,15,,,5,,,,,,,10,,15,15,30,30,0,30,0,0,4,5,5,0,5,4,4,0,5,186.38,74.55,C
4406538,10,5,5,5,0,0,,,10,,,20,,,,,,,,15,15,30,30,5,30,0,5,5,5,5,5,5,4,5,5,5,169,67.6,D
4511618,10,5,5,0,10,40,,,,,10,10,,,,,10,,,15,15,30,30,5,29,30,5,5,5,5,5,5,5,5,5,5,244,97.6,A
4459985,10,5,5,5,0,37,,,10,10,,,,,,10,,,,15,15,30,30,5,29,30,5,5,5,5,5,5,5,5,5,5,236,94.4,A
4466875,10,5,5,5,0,30,,,,,,,15,,,,,,20,15,15,30,30,5,30,0,5,5,5,5,5,5,5,5,5,5,200,80,B
4389042,6.38,5,5,5,10,40,,10,,,,,10,,,,,,5,15,0,15,30,5,30,30,5,5,5,5,5,5,4,5,5,5,230.38,92.15,A
4509847,9.64,5,5,5,0,40,,,20,,,,,,,10,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,4,5,5,238.64,95.46,A
4469883,10,5,5,0,10,30,,,,,10,5,,,,,,,15,15,15,30,30,5,0,30,5,5,5,5,5,5,5,5,5,5,205,82,B
4427708,10,5,5,5,10,0,,,,,,,15,,,,,,15,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,5,5,210,84,B
4385391,10,5,5,5,10,40,,,,,,5,10,,,,,,15,15,15,30,30,5,15,30,5,5,5,5,4,5,4,5,4,5,232,92.8,A
4403749,10,5,5,5,10,40,,,,20,,,5,10,,,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,5,5,250,100,A
4449240,8.25,5,5,0,0,40,,,,15,,,,,,,,,15,15,15,30,30,5,30,0,5,5,0,5,5,5,5,5,5,5,198.25,79.3,C+
4512320,9.13,5,5,0,10,30,,,10,,,10,,,10,,,,,15,15,30,0,5,30,30,3.67,4,5,5,5,5,3,5,3,4,196.79,78.72,C+
4425871,10,5,5,2.5,10,40,,10,,10,5,5,,,,,,,,15,15,30,30,5,30,30,4.67,5,5,5,5,5,4,5,5,5,246.17,98.47,A
4480968,10,5,5,5,10,40,,,,,,,30,,,,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,5,5,250,100,A
4481894,9.5,5,5,0,10,40,,10,,,,10,,,,10,,,,15,15,30,22.5,5,0,30,5,5,5,5,5,5,5,5,5,5,207,82.8,B
4461360,9.75,5,5,5,10,0,,,10,5,15,,,,,,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,4,5,208.75,83.5,B
4413826,9.75,5,5,3.75,10,40,,,,5,10,5,10,,,,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,5,5,248.5,99.4,A
3868783,9.95,5,5,0,10,40,,,,10,,,10,,,,10,,,15,15,30,0,0,30,30,5,5,5,5,5,5,5,5,5,4,208.95,83.58,B
4454833,9.25,5,5,0,10,40,,10,20,,,,,,,,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,4,5,243.25,97.3,A
4406736,10,5,5,5,10,0,,,,,,10,10,,,,,,10,15,15,30,30,0,30,30,5,5,5,5,5,5,5,5,4,5,204,81.6,B
4446204,9.88,5,5,5,0,40,,,,,0,30,,,,,,,,15,15,30,18,5,30,30,5,5,5,5,5,5,5,5,5,5,227.88,91.15,A
4384532,10,5,5,5,10,40,10,,10,10,,,,,,,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,5,5,250,100,A
4405515,10,5,5,5,10,40,,,,,5,5,10,5,5,,,,,15,15,30,30,5,30,30,5,4,5,5,5,5,5,5,3,5,247,98.8,A
4423615,9.25,5,5,5,10,40,,,,10,10,,,,,,,,10,15,15,30,30,5,30,30,5,5,5,5,5,5,5,4,5,5,248.25,99.3,A
4412270,10,5,5,0,10,40,,10,,,,,5,,,,,10,,15,0,15,30,5,30,30,5,5,5,5,5,5,5,5,5,5,230,92,A
4424187,9.63,5,5,5,10,40,,,,,5,,10,,10,10,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,5,5,249.63,99.85,A
3980820,9.25,5,5,5,10,0,10,,,,,10,,,,,10,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,0,5,204.25,81.7,B
4447640,9.44,5,5,5,10,40,,10,,,,10,,,,,,,10,15,15,30,15,5,30,30,5,4,5,5,5,5,4,5,5,5,232.44,92.98,A
4473668,9.38,5,3.75,5,10,40,,,,,15,,,,,5,10,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,4,5,247.13,98.85,A
4419486,10,5,5,5,10,40,,,,20,,,10,,,,,,,15,15,30,30,5,18,30,5,5,5,5,5,5,4,5,5,5,237,94.8,A
4380891,10,5,5,5,10,40,,,,10,10,,,,10,,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,4,0,5,5,244,97.6,A
4421858,9.69,5,3.75,5,10,40,,,,,,,15,,,,,,20,15,15,30,30,5,18,30,4.67,5,5,5,5,5,5,5,4,5,235.1,94.04,A
4420777,9.75,5,5,5,10,40,,,,,,20,,,,10,,,,15,15,30,30,5,14,30,5,4,5,5,5,5,5,5,5,5,232.75,93.1,A
4418178,9.19,5,0,0,10,30,,,,,,,15,,,,,,15,15,15,30,22.5,0,30,0,4.67,0,5,5,5,5,2,5,3,0,171.35,68.54,D+
4481589,9.25,5,5,5,10,40,,10,,,,10,,,,,,,10,15,15,30,30,5,30,30,5,5,5,5,5,5,4,4,5,5,247.25,98.9,A
4457721,10,5,5,5,10,40,,10,5,15,,,,,,,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,5,5,250,100,A
4513730,9.5,5,5,5,10,40,10,,,,,,,,,20,,,10,0,15,15,0,5,30,30,5,5,5,5,5,4,4,5,3,5,200.5,80.2,B
4482826,9.69,5,5,5,10,40,,,,,,,15,,,,,,,15,0,15,30,5,30,30,4,5,5,5,5,5,0,4,5,5,227.69,91.08,A
